accession,amplicon_PCR_primer_scheme,collected_by,geo_loc_name,collection_date,ww_population,ww_surv_target_1_conc,geo_loc_country,geo_loc_region,site_id
SRR27471201,artic-v5.3.2_400,,USA: Iowa,2024-01-01,75000.0,194872.89680361995,USA,Iowa,USA_IA_7423e404
SRR27471232,artic-v5.3.2_400,,USA: Maryland,2024-01-01,90000.0,342067.51941840124,USA,Maryland,USA_MD_4ba3d1f0
SRR27541065,,MO DHSS,USA: Missouri,2024-01-01,61250.0,-1.0,USA,Missouri,USA_MO_74641a28
SRR27674715,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,40000.0,4.43,USA,Oregon,USA_OR_b22393f8
SRR27674717,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,235155.0,4.041,USA,Oregon,USA_OR_023bacce
SRR27674719,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,300000.0,4.244,USA,Oregon,USA_OR_7b6f9ef4
SRR27674728,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,45600.0,4.807,USA,Oregon,USA_OR_9ac4facc
SRR27674730,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,662235.0,5.177,USA,Oregon,USA_OR_b1869e53
SRR27674734,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,220000.0,4.691,USA,Oregon,USA_OR_c84c259d
SRR27471237,artic-v5.3.2_400,,USA: Kansas,2024-01-01,40000.0,84606.53785556562,USA,Kansas,USA_KS_a36f9f9c
SRR27674714,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2024-01-01,40000.0,4.284,USA,Oregon,USA_OR_b22393f8
SRR27471196,artic-v5.3.2_400,,USA: New Hampshire,2024-01-01,6000.0,105815.50057604827,USA,New Hampshire,USA_NH_16fd23eb
SRR27471227,artic-v5.3.2_400,,USA: Florida,2024-01-01,3000.0,14844.059694479638,USA,Florida,USA_FL_d4701464
SRR27666884,,MO DHSS,USA: Missouri,2024-01-01,360000.0,-1.0,USA,Missouri,USA_MO_48c24b13
SRR27471229,artic-v5.3.2_400,,USA: Tennessee,2024-01-01,43750.0,153841.1444199095,USA,Tennessee,USA_TN_860ae481
SRR27471211,artic-v5.3.2_400,,USA: North Carolina,2024-01-01,20484.0,111892.55474727,USA,North Carolina,USA_NC_0927f23d
SRR27471228,artic-v5.3.2_400,,USA: Nevada,2024-01-01,2000000.0,160275.38752337862,USA,Nevada,USA_NV_fdbd6739
SRR27541081,,MO DHSS,USA: Missouri,2024-01-01,151966.0,-1.0,USA,Missouri,USA_MO_7e59a478
SRR27471238,artic-v5.3.2_400,,USA: Texas,2024-01-01,539116.0,240331.1911529412,USA,Texas,USA_TX_82a5ca98
SRR27541083,,MO DHSS,USA: Missouri,2024-01-01,17000.0,-1.0,USA,Missouri,USA_MO_90f1c146
SRR27471218,artic-v5.3.2_400,,USA: California,2024-01-01,91980.0,136733.54803740574,USA,California,USA_CA_e3648d51
SRR27471193,artic-v5.3.2_400,,USA: Kansas,2024-01-01,95000.0,153455.44920663652,USA,Kansas,USA_KS_a286ac9e
SRR27541100,,MO DHSS,USA: Missouri,2024-01-01,8082.0,-1.0,USA,Missouri,USA_MO_8b1d2cd9
SRR27674736,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-31,133708.0,4.823,USA,Oregon,USA_OR_1a2ac800
SRR27674744,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-29,21105.0,4.362,USA,Oregon,USA_OR_cf0704f9
SRR27456826,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,1928.0,14100000.0,USA,Washington,USA_WA_31daf590
SRR27456806,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,225000.0,8921000.0,USA,Washington,USA_WA_68c3efae
